Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,dataset
IndiGo,2019-03-24,Banglore,New Delhi,BLR → DEL,2022-01-05 22:20:00,2022-03-22 01:10:00,2h 50m,non-stop,No info,3897.0,train
Air India,2019-01-05,Kolkata,Banglore,CCU → IXR → BBI → BLR,2022-01-05 05:50:00,2022-01-05 13:15:00,7h 25m,2 stops,No info,7662.0,train
Jet Airways,2019-09-06,Delhi,Cochin,DEL → LKO → BOM → COK,2022-01-05 09:25:00,2022-06-10 04:25:00,19h,2 stops,No info,13882.0,train
IndiGo,2019-12-05,Kolkata,Banglore,CCU → NAG → BLR,2022-01-05 18:05:00,2022-01-05 23:30:00,5h 25m,1 stop,No info,6218.0,train
IndiGo,2019-01-03,Banglore,New Delhi,BLR → NAG → DEL,2022-01-05 16:50:00,2022-01-05 21:35:00,4h 45m,1 stop,No info,13302.0,train
SpiceJet,2019-06-24,Kolkata,Banglore,CCU → BLR,2022-01-05 09:00:00,2022-01-05 11:25:00,2h 25m,non-stop,No info,3873.0,train
Jet Airways,2019-12-03,Banglore,New Delhi,BLR → BOM → DEL,2022-01-05 18:55:00,2022-03-13 10:25:00,15h 30m,1 stop,In-flight meal not included,11087.0,train
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,2022-01-05 08:00:00,2022-03-02 05:05:00,21h 5m,1 stop,No info,22270.0,train
Jet Airways,2019-12-03,Banglore,New Delhi,BLR → BOM → DEL,2022-01-05 08:55:00,2022-03-13 10:25:00,25h 30m,1 stop,In-flight meal not included,11087.0,train
Multiple carriers,2019-05-27,Delhi,Cochin,DEL → BOM → COK,2022-01-05 11:25:00,2022-01-05 19:15:00,7h 50m,1 stop,No info,8625.0,train
Air India,2019-01-06,Delhi,Cochin,DEL → BLR → COK,2022-01-05 09:45:00,2022-01-05 23:00:00,13h 15m,1 stop,No info,8907.0,train
IndiGo,2019-04-18,Kolkata,Banglore,CCU → BLR,2022-01-05 20:20:00,2022-01-05 22:55:00,2h 35m,non-stop,No info,4174.0,train
Air India,2019-06-24,Chennai,Kolkata,MAA → CCU,2022-01-05 11:40:00,2022-01-05 13:55:00,2h 15m,non-stop,No info,4667.0,train
Jet Airways,2019-09-05,Kolkata,Banglore,CCU → BOM → BLR,2022-01-05 21:10:00,2022-05-10 09:20:00,12h 10m,1 stop,In-flight meal not included,9663.0,train
IndiGo,2019-04-24,Kolkata,Banglore,CCU → BLR,2022-01-05 17:15:00,2022-01-05 19:50:00,2h 35m,non-stop,No info,4804.0,train
Air India,2019-03-03,Delhi,Cochin,DEL → AMD → BOM → COK,2022-01-05 16:40:00,2022-03-04 19:15:00,26h 35m,2 stops,No info,14011.0,train
